game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2025-Christmas-MIN-DEN,close_game(35-65c),38.0,2025-12-25 21:10:21.897214+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 21:10:59.849714+00:00,0.5100,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.0,2025-12-24 16:02:21.719725+00:00,0.6000,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 16:02:59.674363+00:00,0.6000,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G7-OKC-IND,close_game(35-65c),38.0,2025-06-17 14:01:22.716423+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 14:02:00.748449+00:00,0.6400,KXNBAGAME-25JUN19OKCIND-OKC
2026-Playoffs-GSW-LAC,close_game(35-65c),38.0,2026-04-14 04:23:33.749631+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 04:24:11.732542+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),38.0,2025-12-24 19:22:11.288538+00:00,0.5900,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 19:22:49.310408+00:00,0.5900,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.0,2025-12-25 23:53:36.461558+00:00,0.5000,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 23:54:14.496570+00:00,0.5000,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.9,2025-12-24 23:08:21.716459+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 23:08:59.585697+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.9,2025-12-24 15:23:23.705816+00:00,0.6000,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 15:24:01.558910+00:00,0.4100,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.9,2025-12-24 17:38:28.751650+00:00,0.4200,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 17:39:06.687126+00:00,0.4200,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.9,2025-12-25 17:31:07.581835+00:00,0.4700,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 17:31:45.439662+00:00,0.5500,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.9,2025-12-25 21:02:11.917682+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 21:02:49.846164+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN
